"","Tipo","Literal","CCAA","Provincia","Municipio","Encuestadora.Medio","Fuente","Muestra","Trabajo.Campo","Último.día","Particip","Lead","Ganador","Ventaja","BNG","CC.NCa","CpM","Cs","CUP","EC","ECP","EH.Bildu","ERC.Sobiranistes","EV","Junts","JxCat","Más.País","Més.Compromís","NA.","PACMA","PDeCAT","PNV","PP","PRC","PSC","PSdeG.PSOE","PSOE","Somos.Región","TE","Unidas.Podemos","Vox"
"25","Generales","España","Esp.","-","-","IMOP/El Confidencial","https://www.elconfidencial.com/espana/observatorio-electoral/2022-04-27/feijoo-frena-escalada-vox-afianza-recuperacion-pp_3414585/","1323","11–23 Apr 2022","2022-04-23","-","0.2","PSOE","PSOE +0.2",1,0.3,NA,1.7,0.8,NA,NA,1.2,3,0.1,NA,1.8,2.6,NA,0.2,NA,NA,1.5,25.5,0.2,NA,NA,25.7,NA,NA,11.6,19
"26","Generales","España","Esp.","-","-","DYM/Henneo","https://www.20minutos.es/noticia/4991220/0/el-pp-de-feijoo-supera-al-psoe-y-lograria-mayoria-absoluta-con-vox/","1012","20–22 Apr 2022","2022-04-22","-","1.1","PP","PP +1.1",NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,27.6,NA,NA,NA,26.5,NA,NA,11,16.8
"27","Generales","España","Esp.","-","-","InvyMark/laSexta","https://www.lasexta.com/noticias/nacional/barometro-lasexta-psoe-seria-partido-mas-votado-hoy-celebrasen-elecciones-276-sufragios_2022042462653d902dc8df00018f27f0.html","-","18–22 Apr 2022","2022-04-22","-","3.3","PSOE","PSOE +3.3",NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,24.3,NA,NA,NA,27.6,NA,NA,11,20.3
"28","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep24a22/","1873","15–22 Apr 2022","2022-04-22","-","1.5","PSOE","PSOE +1.5",0.9,0.6,NA,2.9,1,NA,NA,1.3,2.8,0.4,NA,2.4,2.5,NA,0.4,NA,NA,1.6,20.8,0.2,NA,NA,24.7,NA,NA,12.6,23.2
"29","Generales","España","Esp.","-","-","Celeste-Tel/Onda Cero","https://www.ondacero.es/noticias/espana/encuesta-electoral-ganaria-elecciones-generales-superando-votos-escanos-psoe_2022042262624e5fb5d7420001aad7a0.html","1100","11–20 Apr 2022","2022-04-20","64.8","0.7","PP","PP +0.7",0.8,0.6,NA,3,0.9,NA,NA,1.1,3.2,0.1,NA,2,3.1,NA,0.4,NA,NA,1.5,27.1,0.2,NA,NA,26.4,NA,NA,10.9,17.1
"30","Generales","España","Esp.","-","-","SW Demoscopia","https://www.electograph.com/2022/04/encuesta-sw-demoscopia-220418.html","1205","11–18 Apr 2022","2022-04-18","-","1.7","PSOE","PSOE +1.7",NA,0.6,NA,2.4,0.9,NA,NA,1.1,3.6,NA,NA,2,2.9,NA,0.3,NA,NA,1.6,23.6,0.2,NA,NA,25.3,NA,NA,10.2,20.7
"31","Generales","España","Esp.","-","-","NC Report/La Razón","https://www.larazon.es/espana/20220418/qrrs2ytxa5dknpyp5fk6rjr3ry.html","1000","11–15 Apr 2022","2022-04-15","63.3","4.1","PP","PP +4.1",NA,NA,NA,3,NA,NA,NA,1,3.3,NA,NA,2.1,2.3,NA,NA,NA,NA,1.5,29.5,NA,NA,NA,25.4,NA,NA,10.1,16.3
"32","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep17a22/","1301","8–15 Apr 2022","2022-04-15","-","1.1","PSOE","PSOE +1.1",0.9,0.6,NA,2.9,1,NA,NA,1.4,2.9,0.4,NA,2.4,2.6,NA,0.4,NA,NA,1.6,20,0.2,NA,NA,24.8,NA,NA,12.6,23.7
"33","Generales","España","Esp.","-","-","SocioMétrica/El Español","https://www.elespanol.com/espana/politica/20220410/feijoo-presidente-preferido-espanoles-psoe-puntos-delante/652435151_0.html","-","9 Apr 2022","2022-04-09","-","2.8","PSOE","PSOE +2.8",0.6,0.6,NA,3.1,0.9,NA,NA,1.2,3,1.3,NA,2,2.9,NA,0.4,NA,NA,1.6,23.1,0.2,NA,NA,25.9,NA,NA,11.7,19.5
"34","Generales","España","Esp.","-","-","CIS","https://datos.cis.es/pdf/Es3359mar_A.pdf","3650","1–9 Apr 2022","2022-04-09","-","3.1","PSOE","PSOE +3.1",0.6,0.3,NA,2,0.9,NA,NA,1.2,2.4,0.1,NA,1.2,2.1,NA,0.2,NA,NA,1.3,27.2,0.1,NA,NA,30.3,NA,NA,10.7,14.4
"35","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep10a22","1229","1–8 Apr 2022","2022-04-08","-","0.9","PSOE","PSOE +0.9",0.9,0.6,NA,2.9,1,NA,NA,1.4,3.3,0.4,NA,2.4,2.6,NA,0.4,NA,NA,1.6,19.7,0.2,NA,NA,24.7,NA,NA,12.7,23.8
"36","Generales","España","Esp.","-","-","IMOP/El Confidencial","https://www.elconfidencial.com/espana/observatorio-electoral/2022-04-13/feijoo-ganaria-elecciones-fuga-votos-psoe_3407576/","1312","28 Mar–8 Apr 2022","2022-04-08","-","0.6","PP","PP +0.6",1,0.3,NA,1.9,0.9,NA,NA,1.1,3,0.1,NA,1.6,2.4,NA,0.3,NA,NA,1.6,25.5,0.2,NA,NA,24.9,NA,NA,11,20.6
